AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
37.78223,43.507670000000005,48.72237,36.2072,61.629059999999996,53.626169999999995,58.38586,90.74213,58.697880000000005,49.09162,48.57144,64.27528000000001,38.27272,55.00272,42.02645,46.309909999999995,40.895309999999995,39.73639,37.01124,53.315180000000005,63.02029,64.36328,51.178059999999995,51.86992,39.491659999999996,43.60328,45.34418,42.389140000000005,49.62386,53.904540000000004,58.35078000000001,53.816140000000004,62.21193,48.90633,38.58266,46.76865,36.14497,58.60912,50.22,62.88511999999999,44.49876,39.04822,40.98734,47.466429999999995,42.09312,66.37385,53.7412,59.342009999999995,33.49125,52.12642,30.814859999999996
37.78223,43.507670000000005,48.72237,36.2072,61.629059999999996,53.626169999999995,58.38586,90.74213,58.697880000000005,49.09162,48.57144,64.27528000000001,38.27272,55.00272,42.02645,46.309909999999995,40.895309999999995,39.73639,37.01124,53.315180000000005,63.02029,64.36328,51.178059999999995,51.86992,39.491659999999996,43.60328,45.34418,42.389140000000005,49.62386,53.904540000000004,58.35078000000001,53.816140000000004,62.21193,48.90633,38.58266,46.76865,36.14497,58.60912,50.22,62.88511999999999,44.49876,39.04822,40.98734,47.466429999999995,42.09312,66.37385,53.7412,59.342009999999995,33.49125,52.12642,30.814859999999996
38.009170000000005,43.32979,48.84816,36.14885,61.222269999999995,53.2798,56.81466999999999,89.71969,58.389019999999995,48.783359999999995,48.17925,63.87613,37.76222,54.56805,41.76686,45.75346,41.54335,39.43848,36.5991,53.706959999999995,61.5384,65.34376999999999,51.15891,51.721709999999995,38.84559,44.01092,45.21835,42.49427,49.357659999999996,53.7641,59.63353000000001,53.64025,62.310919999999996,48.740990000000004,38.689209999999996,47.14699,36.06261,57.38046,50.16114,62.80302,43.53521,38.88711,40.61555,47.4559,41.611979999999996,65.90128,53.4817,58.48925,34.074490000000004,51.89808,30.81065
38.15221,43.33144,48.95641,35.81185,61.18423000000001,54.5206,56.72996,89.68285,58.384330000000006,48.75563,48.36967,63.316990000000004,37.3297,54.78221,41.705859999999994,45.3234,41.57373,39.31048,36.79887,53.30098,61.51396999999999,65.26601,51.48645,51.24933,38.86685,44.07067,45.227059999999994,42.139590000000005,49.76396,53.7281,59.511340000000004,52.61113,62.228469999999994,49.21102,37.852920000000005,46.403940000000006,36.12469,57.570719999999994,50.04088,63.14238,43.59414,39.10022,40.49633,47.23946,41.5122,65.3178,53.18873000000001,58.466680000000004,33.9657,51.886559999999996,30.474909999999998
38.16238,43.10344,48.85966,35.826190000000004,61.068659999999994,54.25451999999999,56.551590000000004,89.44386,58.395630000000004,48.808009999999996,48.40371,63.124030000000005,37.26466,54.628569999999996,41.713770000000004,46.838770000000004,41.37546,39.20438,36.968059999999994,53.34166,61.5173,65.21694000000001,51.443690000000004,50.41409,38.89236,43.87395,45.19025,42.28418,49.67335,53.76921,59.43864,52.80376999999999,62.0538,49.14159,37.79905,46.3021,35.94178,57.181630000000006,50.25731,63.06938,43.56452,39.27707,40.421170000000004,46.822070000000004,40.57493,64.85413,53.29662,58.458259999999996,34.25788,51.88879,30.380340000000004
38.20592,43.24139,48.549490000000006,34.77342,60.85491999999999,53.86115,58.566269999999996,87.61406,58.59579,48.70482,48.33746,62.22458,37.52211,54.7079,41.38387,46.92442,41.80339,39.4044,37.04436,53.36773,61.30206,65.3281,50.68476,50.197959999999995,38.99355,44.42881,45.18331,43.95285,49.61622,53.87096999999999,58.447109999999995,52.4193,61.20155,49.0093,38.65553,46.457390000000004,36.26582,57.37515,50.09035,64.23104000000001,43.580040000000004,39.66976,40.037409999999994,46.93267,40.106190000000005,64.21293,52.69707,58.27206999999999,35.39648,51.7749,29.02563
37.91263,43.12573,48.92253,35.3053,60.86679,53.79141,58.19729,87.54137,57.3007,48.77295,48.27156,62.44676,37.43233,54.64873000000001,41.35357,47.62125,41.75431,38.456790000000005,37.10926,53.30321,61.4777,65.10561,50.71862,50.1591,39.18742,44.4447,45.045429999999996,43.87272,49.59404,53.455169999999995,56.066930000000006,52.715619999999994,61.28685,49.12702,38.2015,46.33233,36.11938,57.16195,50.30802,64.0458,43.53615,39.8966,40.04119,46.364329999999995,39.75977,63.982009999999995,52.98865,58.19044,35.52733,51.6695,29.472929999999998
38.0816,43.16847,48.81445,36.879490000000004,60.97447,53.5812,57.89773,86.90257,57.72554,48.88217,48.05387,62.15773000000001,37.25662,54.69883000000001,41.13048,47.85649,41.65854,38.39788,37.171820000000004,53.431430000000006,61.3821,65.00494,50.83723,51.019,39.25112,44.50521,44.791270000000004,43.74543,49.65054,53.397619999999996,55.95701999999999,52.72982,61.20816,49.14369,37.59277,46.34414,36.018640000000005,56.98438,50.22656,64.23602,43.268190000000004,40.00507,39.949490000000004,46.5183,39.95755,63.23615,52.5031,58.21362,35.64922,51.37697,28.79849
38.09173,43.182159999999996,48.72655,36.88928,60.406530000000004,53.59636999999999,57.90846,86.91272,57.73891,49.16414,47.55291,62.16855,37.269079999999995,54.70901,41.11378,47.43209,41.736990000000006,38.40905,37.77301,53.44154,61.39111,65.31217,50.86528,50.662420000000004,38.52297,44.51488,44.14264,43.761390000000006,50.01968,53.40589,55.96488000000001,52.74401999999999,61.21925,49.13961,37.60229,46.35537,36.02762,57.00581,50.17861,64.25126,43.23382,40.01518,39.96094,46.529759999999996,39.96897,63.248430000000006,52.51556,58.22595,35.65878,51.38748,28.81271
38.05466,43.26702,48.69368,36.811890000000005,60.39538,53.5037,57.882630000000006,87.55503,58.305930000000004,49.0727,47.65526,61.8088,37.18103,54.85305,40.931059999999995,47.42585,41.4579,38.68172,37.78989,53.46229,62.39904,65.97965,50.68553,50.60082,38.07199,44.50309,44.12157,43.78302,49.89962,53.3533,56.338119999999996,52.65133,61.383419999999994,49.165890000000005,37.46392,46.39311,36.07866,56.90729,50.338879999999996,64.71691,42.76446,39.97233,39.90783,47.4801,40.28091,63.2886,52.491009999999996,58.07493,36.2615,50.89206,28.685290000000002
