AL,AK,AZ,AR,CA,CO,CT,DC,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
35.14891,39.10066,42.92815,33.52097,54.91905,43.64732,51.05077,85.58946,50.08618,46.39832,44.38727,51.887809999999995,29.687509999999996,50.97485,37.3296,40.87534,36.81242,33.53967,37.1587,46.01504,59.92575,55.71963,45.66772,46.96928,41.43731,38.22606,32.673390000000005,33.61203,44.89117,44.56515,51.68812,43.84036,54.164730000000006,46.44271,29.20324,42.63316,30.795340000000003,45.89365,46.50476,47.45552,41.16662,32.46563,39.00087,38.6247,26.918459999999996,55.186659999999996,47.26719,50.27108,28.617829999999998,46.56556,22.07957
35.14891,39.10066,42.92815,33.52097,54.91905,43.64732,51.05077,85.58946,50.08618,46.39832,44.38727,51.887809999999995,29.687509999999996,50.97485,37.3296,40.87534,36.81242,33.53967,37.1587,46.01504,59.92575,55.71963,45.66772,46.96928,41.43731,38.22606,32.673390000000005,33.61203,44.89117,44.56515,51.68812,43.84036,54.164730000000006,46.44271,29.20324,42.63316,30.795340000000003,45.89365,46.50476,47.45552,41.16662,32.46563,39.00087,38.6247,26.918459999999996,55.186659999999996,47.26719,50.27108,28.617829999999998,46.56556,22.07957
35.06635,39.42692,42.88492,34.11016,54.89679,43.67445,50.540240000000004,87.5612,49.76764,46.36983,44.35812,51.83976,29.76833,50.9774,37.52046,40.92687,36.82009,33.36793,37.083870000000005,46.262890000000006,60.3896,55.77867,45.721000000000004,46.9293,41.20068,38.28358,33.38797,33.02537,44.88166,44.55002,51.75444,43.9339,54.282140000000005,46.45673,29.374109999999998,42.71252,30.71472,45.92177,46.66064,47.76614,41.150940000000006,31.98392,38.45064,38.57183,26.85288,54.266819999999996,47.24673,50.29932,28.087020000000003,46.56156,22.406760000000002
34.85667,38.02687,42.12742,33.74588,54.75375,43.51936,49.9274,86.81624000000001,49.87563,46.14529,43.825379999999996,52.08274,29.83878,51.115829999999995,37.77625,41.12816,36.53008,33.26933,36.95447,46.199,60.51328,55.640840000000004,45.58487,46.66206,41.03512,38.54898,33.78199,32.652570000000004,45.079879999999996,44.278690000000005,51.204640000000005,43.794270000000004,53.173680000000004,46.50008,29.6089,43.03572,30.34771,46.76877,46.77779,47.669270000000004,39.227109999999996,31.949890000000003,38.22979,39.06756,26.68396,52.894659999999995,46.99804,49.50587,28.482190000000003,46.48066,22.0804
34.87037,38.04238,42.14354,33.76031,54.77244,43.538740000000004,49.939820000000005,86.82316999999999,49.89038,46.16447,43.91465,52.093720000000005,29.85172,51.13524,37.7929,41.14658,36.54611,33.28537,36.96862,46.21458,60.527319999999996,55.65699,45.6018,46.67822,41.04936,38.149640000000005,33.79476,32.66576,44.875170000000004,44.196220000000004,51.223,43.81265,53.190909999999995,46.51896,29.620040000000003,43.148340000000005,30.362090000000002,46.78525,46.991409999999995,47.68243,39.2444,31.962870000000002,38.24479,39.08522,26.64125,52.91117,47.01628,49.52203,28.495040000000003,46.49881,22.09069
34.76849,38.51379,42.20778,33.68535,54.86622,43.244659999999996,50.03975,85.74117,49.51141,46.10289,43.83491,51.4887,29.763140000000003,50.92763,37.87813,41.73101,36.52044,32.86098,36.598420000000004,46.367,60.75391,56.00371,45.24495,46.7704,41.147859999999994,38.1666,34.46113,32.86929,44.92483,44.20259,51.35386,43.834540000000004,53.234140000000004,46.52029,29.74802,43.0653,30.61761,46.79622,47.18553,47.642509999999994,39.159909999999996,32.62355,38.00985,39.16687,26.575229999999998,52.13065,46.73932,49.5709,28.666520000000002,46.5505,21.80471
34.43349,38.51513,42.29318,33.97255,54.94693,43.287659999999995,49.849140000000006,87.04868,49.43995,46.089909999999996,43.438140000000004,51.40672,29.685440000000003,51.05405,38.31773,41.16491,37.06054,32.69038,36.60143,46.21552,60.90521999999999,56.25836999999999,45.78833,46.69158,41.231790000000004,38.32629,34.47305,32.33589,45.00172,44.24147,51.016909999999996,43.379909999999995,53.277530000000006,46.58963,30.427229999999998,43.65679,30.54202,46.66182,47.2112,47.37599,39.115590000000005,31.912909999999997,37.7877,39.19073,26.801170000000003,51.50949,46.79568,49.5983,28.832729999999998,46.5152,21.772029999999997
34.86957,38.7593,42.34851,34.117290000000004,54.881440000000005,43.60085,49.43864,87.62763000000001,49.3695,46.05048,43.35048,50.89277,30.087290000000003,50.883559999999996,38.483090000000004,41.33295,37.04302,32.40761,36.60629,46.42192,60.78641999999999,55.560680000000005,45.70491,46.6207,41.562740000000005,38.41088,34.462140000000005,31.8728,44.9297,45.17562,50.640879999999996,41.87673,53.010690000000004,46.47805,30.715590000000002,43.52726,30.428140000000003,46.54343,47.182790000000004,47.638740000000006,39.190870000000004,31.453159999999997,37.292809999999996,40.13632,28.08152,51.1329,46.86307,49.72757,29.38387,46.17275,21.757260000000002
34.313109999999995,38.048590000000004,42.75189,34.07032,54.93533000000001,43.52682,49.340759999999996,87.58936,49.29372,45.83665,43.31623,50.88989,27.595,50.88433,38.268209999999996,41.47286,36.70746,31.97461,36.83211,46.424820000000004,60.71462,55.251180000000005,45.63994,46.396409999999996,41.59962,38.89897,34.203590000000005,31.52565,44.913740000000004,45.51128,50.40037,43.038000000000004,52.571259999999995,46.20749,30.42803,43.56159,30.379509999999996,46.38758,47.02956,47.62337,39.02023,32.37873,36.38673,40.36118,27.912509999999997,49.27746,46.97017,49.24493,29.02882,46.32741,21.95169
34.51358,38.004540000000006,42.98489,33.59106,55.106480000000005,44.196529999999996,49.24885,86.97765,49.53416,45.73919,43.556259999999995,51.33376,27.56227,51.00745,38.28908,41.43671,36.717220000000005,31.994979999999998,36.389759999999995,46.525290000000005,60.6346,55.16251,45.561840000000004,46.4893,41.90351,39.43483,34.37212,31.799229999999998,44.96932,45.53609,50.28839,43.11052,52.693430000000006,46.355129999999996,30.735770000000002,43.79035,30.19143,46.321709999999996,47.086859999999994,47.61569,40.126459999999994,33.19464,36.50914,40.488620000000004,26.506990000000002,49.00227,46.97939,49.08685,29.17,46.593779999999995,22.18785
