state,pct_dem,pct_rep
MT,35.75,56.17
NH,46.98,46.61
MN,46.44,44.92
WY,21.63,67.4
AK,36.55,51.28
ND,27.23,62.96
VT,56.68,30.27
ME,47.83,44.87
IA,41.74,51.15
UT,27.46,45.54
WI,46.45,47.22
HI,62.22,30.03
SD,31.74,61.53
CO,48.16,43.25
NE,33.7,58.75
WA,52.54,36.83
KS,36.05,56.65
DC,90.48,4.07
MA,60.01,32.81
ID,27.49,59.26
MI,47.27,47.5
CT,54.57,40.93
OR,50.07,39.09
PA,47.46,48.18
MD,60.33,33.91
OH,43.56,51.69
DE,53.09,41.72
MO,38.14,56.77
NJ,55.45,41.35
VA,49.73,44.41
IL,55.83,38.76
IN,37.91,56.82
FL,47.82,49.02
OK,28.93,65.32
RI,54.41,38.9
NC,46.17,49.83
SC,40.67,54.94
TN,34.72,60.72
AZ,44.58,48.08
GA,45.64,50.77
NY,59.01,36.52
WV,26.43,68.5
NV,47.92,45.5
AR,33.65,60.57
AL,34.36,62.08
KY,32.68,62.52
NM,48.26,40.04
LA,38.45,58.09
MS,40.11,57.94
TX,43.24,52.23
CA,61.73,31.62
