state_name,pop,average_log_pop_within_5_miles,state
DC,684498,13.449023511058373,DC
NY,19618453,12.580470862565937,NY
CA,39148760,12.239090666747337,CA
NJ,8881845,12.211909560415018,NJ
NV,2922849,11.95849654267124,NV
MA,6830193,11.836505036018947,MA
MD,6003435,11.723710184034063,MD
RI,1056611,11.71636557022922,RI
IL,12821497,11.708532771509539,IL
AZ,6946685,11.530550629177567,AZ
FL,20598139,11.527324044854888,FL
CO,5531141,11.397293916137622,CO
CT,3581504,11.396147410785321,CT
TX,27885195,11.35211735524185,TX
UT,3045350,11.307666123689991,UT
WA,7294336,11.307497505774847,WA
PA,12791181,11.207100829903977,PA
HI,1422029,11.195558409114147,HI
VA,8413774,11.077294982182073,VA
OR,4081943,11.035357914680429,OR
DE,949495,11.027283874808175,DE
OH,11641879,10.968567710712216,OH
MI,9957488,10.920314857532926,MI
GA,10297484,10.76425095102102,GA
MN,5527358,10.74760238327755,MN
NE,1904760,10.579373364011786,NE
IN,6637426,10.558315945386338,IN
MO,6090062,10.534507462394759,MO
NC,10155624,10.487631582027893,NC
WI,5778394,10.465818678517401,WI
LA,4663616,10.444701406105127,LA
NM,2092434,10.412611475680038,NM
KS,2908776,10.410950668962462,KS
TN,6651089,10.391341175409446,TN
ID,1687809,10.312906084385611,ID
OK,3918137,10.292899615512471,OK
SC,4955925,10.29277308938897,SC
NH,1343622,10.141759681393005,NH
KY,4440204,10.081893891020842,KY
AL,4864680,9.949457819638575,AL
IA,3132499,9.917997387151834,IA
AK,738516,9.91040013581723,AK
ND,752201,9.755584569588564,ND
AR,2990671,9.736944986094679,AR
SD,864289,9.568190996530266,SD
MS,2988762,9.543381146732168,MS
WY,581836,9.495933287035538,WY
WV,1829054,9.481219119851541,WV
MT,1041732,9.479560557988366,MT
ME,1332813,9.377285438665307,ME
VT,624977,9.108415574117503,VT
